,price,year,origin,firstCirculationDate,technicalControl,firstHand,mileage,energy,gearbox,externalColor,doors,seats,length,trunkVolumeRange,consumption,co2
0,78090,2019,Importé,28/10/2019,Requis,Non,55824,Hybride essence électrique,Automatique,gris metal,5.0,5.0,4.88,Moyen Coffre,,
1,22040,2021,France,11/05/2021,Non requis,Oui,7924,Essence,Manuelle,blanc,5.0,5.0,4.1,Petit coffre,6.0,136.0
2,59500,2023,France,12/01/2024,Non requis,Oui,43192,Hybride essence électrique,Automatique,gris foncé,5.0,5.0,4.71,Moyen Coffre,,
3,148800,2018,France,05/12/2018,Requis,Non,54000,Essence,Automatique,noir,2.0,4.0,4.5,Petit coffre,6.6,180.0
4,37170,2020,Importé,14/04/2020,Non requis,Oui,45585,Diesel,Automatique,gris foncé,5.0,,,,,131.0
5,281120,2022,Importé,13/01/2023,Non requis,Non,9000,Essence,Automatique,noir metal,2.0,4.0,4.52,Petit coffre,10.7,244.0
6,39130,2023,France,03/07/2023,Non requis,Oui,23230,Essence,Automatique,Mythosschwarz Metallic,4.0,5.0,4.49,,5.5,128.0
7,46290,2020,France,19/07/2020,Non requis,Non,108171,Diesel,Automatique,gris foncé,5.0,5.0,4.94,Grand coffre,5.8,153.0
8,40580,2020,France,06/09/2020,Non requis,Non,124902,Diesel,Automatique,ARGENT FLEURET METAL,5.0,5.0,4.94,Grand coffre,4.7,126.0
9,99180,2017,France,10/10/2017,Requis,Non,21080,Essence,Automatique,jaune,2.0,5.0,3.99,Petit coffre,6.9,161.0
10,40660,2023,France,01/11/2023,Non requis,Non,35595,Essence,Automatique,gris clair,5.0,7.0,4.53,Petit coffre,6.5,148.0
11,32430,2021,France,08/04/2021,Non requis,Oui,77532,Hybride essence électrique,Automatique,gris,5.0,5.0,4.31,Moyen Coffre,,
12,31550,2020,France,17/03/2020,Non requis,Oui,60829,Essence,Automatique,bleu,5.0,5.0,4.27,Grand coffre,6.3,135.0
13,60400,2016,Importé,05/06/2016,Requis,Non,76320,Essence,Automatique,noir metal,5.0,5.0,4.85,Moyen Coffre,9.6,315.0
14,24130,2022,France,15/06/2022,Non requis,Oui,65410,Hybride essence électrique,Automatique,blanc,5.0,5.0,4.37,Moyen Coffre,,
15,17800,2023,France,02/09/2023,Non requis,Oui,12118,Essence,Manuelle,NOIR,5.0,5.0,4.06,Moyen Coffre,5.3,120.0
16,10910,2019,France,15/06/2019,Requis,Oui,92870,Diesel,Manuelle,blanc,5.0,5.0,4.08,Grand coffre,3.8,98.0
17,21350,2023,France,20/05/2023,Non requis,Oui,7172,Essence,Automatique,GRIS PLATINIUM,5.0,5.0,4.0,Grand coffre,5.9,134.0
18,56480,2023,Importé,14/10/2023,Non requis,Oui,6843,Diesel,Automatique,gris verni,5.0,5.0,4.71,Moyen Coffre,5.0,132.0
19,25900,2021,France,29/05/2021,Non requis,Oui,132081,Diesel,Automatique,bleu,4.0,3.0,5.4,,,153.0
20,29240,2023,Importé,30/03/2023,Non requis,Non,11143,Essence,Automatique,gris,5.0,,,,,135.0
21,26230,2024,France,08/04/2024,Non requis,Non,13,Essence,Automatique,noir,5.0,5.0,4.1,Grand coffre,5.7,129.0
22,16840,2021,France,15/08/2021,Non requis,Oui,88135,Diesel,Manuelle,blanc,5.0,5.0,4.05,Grand coffre,4.8,127.0
23,16480,2023,Importé,28/02/2023,Non requis,Non,14240,Essence,Manuelle,blanc,5.0,5.0,4.05,Grand coffre,5.1,117.0
24,46380,2024,Importé,13/08/2024,Non requis,Oui,17,Essence,Automatique,noir metal,5.0,5.0,4.7,Moyen Coffre,6.9,155.0
25,29860,2017,France,28/02/2017,Requis,Oui,48044,Essence,Manuelle,rouge metal,2.0,2.0,3.92,Petit coffre,6.6,154.0
